N = 10
Test Case, Bubble Sort, Insertion Sort, Selection Sort
1, 45, 28, 45
2, 45, 32, 45
3, 45, 26, 45
4, 45, 28, 45
5, 45, 24, 45
6, 45, 29, 45
7, 45, 40, 45
8, 45, 31, 45
9, 45, 27, 45
10, 45, 34, 45
11, 45, 35, 45
12, 45, 23, 45
13, 45, 36, 45
14, 45, 33, 45
15, 45, 32, 45
16, 45, 27, 45
17, 45, 26, 45
18, 45, 34, 45
19, 45, 28, 45
20, 45, 32, 45
21, 45, 28, 45
22, 45, 14, 45
23, 45, 29, 45
24, 45, 14, 45
25, 45, 32, 45
26, 45, 27, 45
27, 45, 29, 45
28, 45, 22, 45
29, 45, 20, 45
30, 45, 43, 45
Average, 45.000000, 28.766667, 45.000000
N = 20
Test Case, Bubble Sort, Insertion Sort, Selection Sort
1, 190, 94, 190
2, 190, 117, 190
3, 190, 113, 190
4, 190, 115, 190
5, 190, 110, 190
6, 190, 120, 190
7, 190, 133, 190
8, 190, 121, 190
9, 190, 106, 190
10, 190, 90, 190
11, 190, 133, 190
12, 190, 102, 190
13, 190, 133, 190
14, 190, 113, 190
15, 190, 131, 190
16, 190, 146, 190
17, 190, 112, 190
18, 190, 114, 190
19, 190, 118, 190
20, 190, 101, 190
21, 190, 126, 190
22, 190, 105, 190
23, 190, 117, 190
24, 190, 113, 190
25, 190, 110, 190
26, 190, 90, 190
27, 190, 126, 190
28, 190, 102, 190
29, 190, 119, 190
30, 190, 88, 190
Average, 190.000000, 113.933333, 190.000000
N = 50
Test Case, Bubble Sort, Insertion Sort, Selection Sort
1, 1225, 769, 1225
2, 1225, 687, 1225
3, 1225, 686, 1225
4, 1225, 754, 1225
5, 1225, 661, 1225
6, 1225, 745, 1225
7, 1225, 559, 1225
8, 1225, 563, 1225
9, 1225, 745, 1225
10, 1225, 708, 1225
11, 1225, 577, 1225
12, 1225, 576, 1225
13, 1225, 575, 1225
14, 1225, 774, 1225
15, 1225, 640, 1225
16, 1225, 625, 1225
17, 1225, 705, 1225
18, 1225, 752, 1225
19, 1225, 682, 1225
20, 1225, 755, 1225
21, 1225, 649, 1225
22, 1225, 746, 1225
23, 1225, 686, 1225
24, 1225, 687, 1225
25, 1225, 704, 1225
26, 1225, 697, 1225
27, 1225, 700, 1225
28, 1225, 587, 1225
29, 1225, 636, 1225
30, 1225, 680, 1225
Average, 1225.000000, 677.000000, 1225.000000
N = 100
