N = 10
Test Case, Bubble Sort, Insertion Sort, Selection Sort
1, 14, 8, 10
2, 19, 7, 10
3, 17, 12, 10
4, 26, 18, 10
5, 29, 16, 10
6, 22, 14, 10
7, 23, 7, 10
8, 22, 11, 10
9, 18, 12, 10
10, 25, 19, 10
11, 25, 8, 10
12, 27, 19, 10
13, 21, 16, 10
14, 25, 10, 10
15, 21, 19, 10
16, 16, 7, 10
17, 25, 9, 10
18, 28, 11, 10
19, 19, 13, 10
20, 21, 10, 10
21, 23, 12, 10
22, 11, 5, 10
23, 22, 11, 10
24, 24, 9, 10
25, 19, 12, 10
26, 26, 12, 10
27, 32, 14, 10
28, 25, 13, 10
29, 38, 19, 10
30, 20, 15, 10
Average, 22.766667, 12.266667, 10.000000
N = 20
Test Case, Bubble Sort, Insertion Sort, Selection Sort
1, 110, 37, 20
2, 94, 29, 20
3, 80, 43, 20
4, 99, 34, 20
5, 102, 39, 20
6, 101, 31, 20
7, 81, 43, 20
8, 80, 17, 20
9, 98, 23, 20
10, 91, 44, 20
11, 72, 29, 20
12, 67, 28, 20
13, 112, 35, 20
14, 97, 46, 20
15, 105, 39, 20
16, 98, 31, 20
17, 96, 36, 20
18, 123, 34, 20
19, 97, 32, 20
20, 63, 23, 20
21, 95, 29, 20
22, 96, 30, 20
23, 93, 43, 20
24, 98, 54, 20
25, 99, 38, 20
26, 117, 48, 20
27, 104, 45, 20
28, 88, 29, 20
29, 65, 23, 20
30, 87, 35, 20
Average, 93.600000, 34.900000, 20.000000
N = 50
Test Case, Bubble Sort, Insertion Sort, Selection Sort
1, 633, 152, 50
2, 553, 93, 50
3, 511, 101, 50
4, 623, 177, 50
5, 562, 113, 50
6, 630, 137, 50
7, 599, 94, 50
8, 479, 177, 50
9, 575, 96, 50
10, 657, 143, 50
11, 566, 148, 50
12, 587, 135, 50
13, 605, 123, 50
14, 550, 124, 50
15, 664, 109, 50
16, 607, 123, 50
17, 624, 115, 50
18, 618, 136, 50
19, 671, 170, 50
20, 673, 112, 50
21, 579, 109, 50
22, 646, 164, 50
23, 587, 99, 50
24, 568, 147, 50
25, 623, 138, 50
26, 554, 143, 50
27, 590, 70, 50
28, 622, 102, 50
29, 637, 130, 50
30, 610, 122, 50
Average, 600.100000, 126.733333, 50.000000
N = 100
Test Case, Bubble Sort, Insertion Sort, Selection Sort
1, 2615, 364, 100
2, 2629, 297, 100
3, 2625, 327, 100
4, 2609, 506, 100
5, 1912, 254, 100
6, 2601, 332, 100
7, 2337, 351, 100
8, 2413, 371, 100
9, 2521, 262, 100
10, 2601, 277, 100
11, 2648, 399, 100
12, 2311, 391, 100
13, 2520, 402, 100
14, 2356, 427, 100
15, 2249, 249, 100
16, 2422, 263, 100
17, 2323, 239, 100
18, 2490, 356, 100
19, 2282, 276, 100
20, 2289, 287, 100
21, 2535, 260, 100
22, 2552, 423, 100
23, 2615, 260, 100
24, 2499, 311, 100
25, 2590, 227, 100
26, 2570, 268, 100
27, 2222, 272, 100
28, 2399, 423, 100
29, 2557, 299, 100
30, 2589, 310, 100
Average, 2462.700000, 322.766667, 100.000000
N = 200
Test Case, Bubble Sort, Insertion Sort, Selection Sort
1, 9511, 760, 200
2, 9661, 818, 200
3, 10160, 792, 200
4, 9846, 694, 200
5, 9552, 720, 200
6, 10213, 740, 200
7, 10351, 713, 200
8, 9981, 673, 200
9, 9281, 829, 200
10, 9318, 800, 200
11, 9331, 605, 200
12, 9065, 968, 200
13, 9259, 619, 200
14, 9700, 929, 200
15, 10725, 880, 200
16, 10372, 777, 200
17, 10297, 761, 200
18, 10073, 704, 200
19, 10034, 654, 200
20, 10331, 888, 200
21, 10191, 707, 200
22, 10435, 621, 200
23, 9272, 769, 200
24, 9727, 746, 200
25, 10938, 948, 200
26, 10413, 936, 200
27, 10244, 643, 200
28, 10401, 799, 200
29, 10110, 915, 200
30, 10355, 804, 200
Average, 9971.566667, 773.733333, 200.000000
N = 1000
Test Case, Bubble Sort, Insertion Sort, Selection Sort
1, 248717, 6355, 1000
2, 245835, 5360, 1000
3, 253304, 5061, 1000
4, 250898, 5504, 1000
5, 258300, 6035, 1000
6, 238096, 5829, 1000
7, 249273, 5265, 1000
8, 252229, 6198, 1000
9, 250885, 4656, 1000
10, 256919, 4661, 1000
11, 251515, 5659, 1000
12, 251821, 5899, 1000
13, 266159, 6559, 1000
14, 249307, 5463, 1000
15, 245985, 5654, 1000
16, 242817, 6272, 1000
17, 241101, 5501, 1000
18, 236610, 4960, 1000
19, 245916, 5174, 1000
20, 239014, 5268, 1000
21, 249777, 5417, 1000
22, 251320, 6160, 1000
23, 256545, 4126, 1000
24, 246011, 5557, 1000
25, 244883, 4506, 1000
26, 252783, 5485, 1000
27, 248040, 6396, 1000
28, 254175, 5480, 1000
29, 250601, 5091, 1000
30, 238138, 5102, 1000
Average, 248899.133333, 5488.433333, 1000.000000
N = 5000
Test Case, Bubble Sort, Insertion Sort, Selection Sort
1, 6139865, 38487, 5000
2, 6145769, 40226, 5000
3, 6209786, 34474, 5000
4, 6151291, 34051, 5000
5, 6155914, 30803, 5000
6, 6227873, 33046, 5000
7, 6291672, 33280, 5000
8, 6380702, 33617, 5000
9, 6265578, 32253, 5000
10, 6271308, 36595, 5000
11, 6253049, 36520, 5000
12, 6391042, 32399, 5000
13, 6167182, 32179, 5000
14, 6206499, 33550, 5000
15, 6268856, 36088, 5000
16, 6184097, 33638, 5000
17, 6237737, 33789, 5000
18, 6225264, 39437, 5000
19, 6115000, 41348, 5000
20, 6277927, 35232, 5000
21, 6149707, 31106, 5000
22, 6161525, 30429, 5000
23, 6295492, 34612, 5000
24, 6256164, 33449, 5000
25, 6330998, 37058, 5000
26, 6344617, 35982, 5000
27, 6183877, 34303, 5000
28, 6323104, 33612, 5000
29, 6231267, 35954, 5000
30, 6160962, 35850, 5000
Average, 6233470.800000, 34778.900000, 5000.000000
N = 10000
Test Case, Bubble Sort, Insertion Sort, Selection Sort
1, 25204265, 79328, 10000
2, 24759419, 67807, 10000
3, 25036476, 80469, 10000
4, 24937193, 72395, 10000
5, 25122152, 74137, 10000
6, 24914052, 93606, 10000
7, 25196483, 69443, 10000
8, 24991647, 79039, 10000
9, 25194850, 85676, 10000
10, 24455522, 72554, 10000
11, 25157353, 76398, 10000
12, 24709931, 82097, 10000
13, 24713520, 74296, 10000
14, 24845901, 82301, 10000
15, 24504795, 76806, 10000
16, 24719067, 81927, 10000
17, 25091257, 75956, 10000
18, 25108804, 77176, 10000
19, 25180545, 77346, 10000
20, 24860416, 77607, 10000
21, 25201379, 71047, 10000
22, 24620511, 73125, 10000
23, 25088714, 89239, 10000
24, 24940022, 80272, 10000
25, 25153257, 75655, 10000
26, 24684512, 74419, 10000
27, 25127322, 73365, 10000
28, 24824361, 83571, 10000
29, 24922234, 75452, 10000
30, 24952357, 80607, 10000
Average, 24940610.566667, 77770.533333, 10000.000000
Summary
N, Bubble Sort, Insertion Sort, Selection Sort
10, 22.766667, 12.266667, 10.000000
20, 93.600000, 34.900000, 20.000000
50, 600.100000, 126.733333, 50.000000
100, 2462.700000, 322.766667, 100.000000
200, 9971.566667, 773.733333, 200.000000
1000, 248899.133333, 5488.433333, 1000.000000
5000, 6233470.800000, 34778.900000, 5000.000000
10000, 24940610.566667, 77770.533333, 10000.000000
