N = 10
Test Case, Bubble Sort, Insertion Sort, Selection Sort
1, 0.000000, 0.000000, 0.000000
2, 0.000000, 0.000000, 0.000000
3, 0.000000, 0.000000, 0.000000
4, 0.000000, 0.000000, 0.000000
5, 0.000000, 0.000000, 0.000000
6, 0.000000, 0.000000, 0.000000
7, 0.000000, 0.000000, 0.000000
8, 0.000000, 0.000000, 0.000000
9, 0.000000, 0.000000, 0.000000
10, 0.000000, 0.000000, 0.000000
11, 0.000000, 0.000000, 0.000000
12, 0.000000, 0.000000, 0.000000
13, 0.000000, 0.000000, 0.000000
14, 0.000000, 0.000000, 0.000000
15, 0.000000, 0.000000, 0.000000
16, 0.000000, 0.000000, 0.000000
17, 0.000000, 0.000000, 0.000000
18, 0.000000, 0.000000, 0.000000
19, 0.000000, 0.000000, 0.000000
20, 0.000000, 0.000000, 0.000000
21, 0.000000, 0.000000, 0.000000
22, 0.000000, 0.000000, 0.000000
23, 0.000000, 0.000000, 0.000000
24, 0.000000, 0.000000, 0.000000
25, 0.000000, 0.000000, 0.000000
26, 0.000000, 0.000000, 0.000000
27, 0.000000, 0.000000, 0.000000
28, 0.000000, 0.000000, 0.000000
29, 0.000000, 0.000000, 0.000000
30, 0.000000, 0.000000, 0.000000
Average, 0.000000, 0.000000, 0.000000
N = 20
Test Case, Bubble Sort, Insertion Sort, Selection Sort
1, 0.000000, 0.000000, 0.000000
2, 0.000000, 0.000000, 0.000000
3, 0.000000, 0.000000, 0.000000
4, 0.000000, 0.000000, 0.000000
5, 0.000000, 0.000000, 0.000000
6, 0.000000, 0.000000, 0.000000
7, 0.000000, 0.000000, 0.000000
8, 0.000000, 0.000000, 0.000000
9, 0.000000, 0.000000, 0.000000
10, 0.000000, 0.000000, 0.000000
11, 0.000000, 0.000000, 0.000000
12, 0.000000, 0.000000, 0.000000
13, 0.000000, 0.000000, 0.000000
14, 0.000000, 0.000000, 0.000000
15, 0.000000, 0.000000, 0.000000
16, 0.000000, 0.000000, 0.000000
17, 0.000000, 0.000000, 0.000000
18, 0.000000, 0.000000, 0.000000
19, 0.000000, 0.000000, 0.000000
20, 0.000000, 0.000000, 0.000000
21, 0.000000, 0.000000, 0.000000
22, 0.000000, 0.000000, 0.000000
23, 0.000000, 0.000000, 0.000000
24, 0.000000, 0.000000, 0.000000
25, 0.000000, 0.000000, 0.000000
26, 0.000000, 0.000000, 0.000000
27, 0.000000, 0.000000, 0.000000
28, 0.000000, 0.000000, 0.000000
29, 0.000000, 0.000000, 0.000000
30, 0.000000, 0.000000, 0.000000
Average, 0.000000, 0.000000, 0.000000
N = 50
Test Case, Bubble Sort, Insertion Sort, Selection Sort
1, 0.000000, 0.000000, 0.000000
2, 0.000000, 0.000000, 0.000000
3, 0.000000, 0.000000, 0.000000
4, 0.000000, 0.000000, 0.000000
5, 0.000000, 0.000000, 0.000000
6, 0.000000, 0.000000, 0.000000
7, 0.000000, 0.000000, 0.000000
8, 0.000000, 0.000000, 0.000000
9, 0.000000, 0.000000, 0.000000
10, 0.000000, 0.000000, 0.000000
11, 0.000000, 0.000000, 0.000000
12, 0.000000, 0.000000, 0.000000
13, 0.000000, 0.000000, 0.000000
14, 0.000000, 0.000000, 0.000000
15, 0.000000, 0.000000, 0.000000
16, 0.000000, 0.000000, 0.000000
17, 0.000000, 0.000000, 0.000000
18, 0.000000, 0.000000, 0.000000
19, 0.000000, 0.000000, 0.000000
20, 0.000000, 0.000000, 0.000000
21, 0.000000, 0.000000, 0.000000
22, 0.000000, 0.000000, 0.000000
23, 0.000000, 0.000000, 0.000000
24, 0.000000, 0.000000, 0.000000
25, 0.000000, 0.000000, 0.000000
26, 0.000000, 0.000000, 0.000000
27, 0.000000, 0.000000, 0.000000
28, 0.000000, 0.000000, 0.000000
29, 0.000000, 0.000000, 0.000000
30, 0.000000, 0.000000, 0.000000
Average, 0.000000, 0.000000, 0.000000
N = 100
Test Case, Bubble Sort, Insertion Sort, Selection Sort
1, 0.000000, 0.000000, 0.000000
2, 0.000000, 0.000000, 0.000000
3, 0.000000, 0.000000, 0.000000
4, 0.000000, 0.000000, 0.000000
5, 0.000000, 0.000000, 0.000000
6, 0.000000, 0.000000, 0.000000
7, 0.000000, 0.000000, 0.000000
8, 0.000000, 0.000000, 0.000000
9, 0.000000, 0.000000, 0.000000
10, 0.000000, 0.000000, 0.000000
11, 0.000000, 0.000000, 0.000000
12, 0.000000, 0.000000, 0.000000
13, 0.000000, 0.000000, 0.000000
14, 0.000000, 0.000000, 0.000000
15, 0.000000, 0.000000, 0.000000
16, 0.000000, 0.000000, 0.000000
17, 0.000000, 0.000000, 0.000000
18, 0.000000, 0.000000, 0.000000
19, 0.000000, 0.000000, 0.000000
20, 0.000000, 0.000000, 0.000000
21, 0.000000, 0.000000, 0.000000
22, 0.000000, 0.000000, 0.000000
23, 0.000000, 0.000000, 0.000000
24, 0.000000, 0.000000, 0.000000
25, 0.000000, 0.000000, 0.000000
26, 0.000000, 0.000000, 0.000000
27, 0.000000, 0.000000, 0.000000
28, 0.000000, 0.000000, 0.000000
29, 0.000000, 0.000000, 0.000000
30, 0.000000, 0.000000, 0.000000
Average, 0.000000, 0.000000, 0.000000
N = 200
Test Case, Bubble Sort, Insertion Sort, Selection Sort
1, 0.000000, 0.000000, 0.000000
2, 0.000000, 0.000000, 0.000000
3, 0.000000, 0.000000, 0.000000
4, 0.000000, 0.000000, 0.000000
5, 0.000000, 0.000000, 0.000000
6, 0.000000, 0.000000, 0.000000
7, 0.000000, 0.000000, 0.000000
8, 0.000000, 0.000000, 0.000000
9, 0.000000, 0.000000, 0.000000
10, 0.000000, 0.000000, 0.000000
11, 0.000000, 0.000000, 0.000000
12, 0.000000, 0.000000, 0.000000
13, 0.000000, 0.000000, 0.000000
14, 0.000000, 0.000000, 0.000000
15, 0.000000, 0.000000, 0.000000
16, 0.000000, 0.000000, 0.000000
17, 0.000000, 0.000000, 0.000000
18, 0.000000, 0.000000, 0.000000
19, 0.000000, 0.000000, 0.000000
20, 0.000000, 0.000000, 0.000000
21, 0.000000, 0.000000, 0.000000
22, 0.015000, 0.000000, 0.000000
23, 0.000000, 0.000000, 0.000000
24, 0.000000, 0.000000, 0.000000
25, 0.000000, 0.000000, 0.000000
26, 0.000000, 0.000000, 0.000000
27, 0.000000, 0.000000, 0.000000
28, 0.000000, 0.000000, 0.000000
29, 0.000000, 0.000000, 0.000000
30, 0.000000, 0.000000, 0.000000
Average, 0.000500, 0.000000, 0.000000
N = 1000
Test Case, Bubble Sort, Insertion Sort, Selection Sort
1, 0.000000, 0.000000, 0.000000
2, 0.000000, 0.000000, 0.000000
3, 0.000000, 0.000000, 0.000000
4, 0.000000, 0.000000, 0.000000
5, 0.000000, 0.000000, 0.015000
6, 0.000000, 0.000000, 0.000000
7, 0.000000, 0.000000, 0.000000
8, 0.000000, 0.000000, 0.000000
9, 0.000000, 0.000000, 0.000000
10, 0.000000, 0.000000, 0.016000
11, 0.000000, 0.000000, 0.000000
12, 0.000000, 0.000000, 0.000000
13, 0.000000, 0.000000, 0.000000
14, 0.000000, 0.000000, 0.000000
15, 0.000000, 0.000000, 0.016000
16, 0.000000, 0.000000, 0.000000
17, 0.000000, 0.000000, 0.000000
18, 0.000000, 0.000000, 0.000000
